dataset_id	status	primary_values	primary_sample_bytes	primary_sample_rows	median_primary_sample_value_count	median_primary_sample_size_bytes	auxiliary_values	auxiliary_sample_bytes	auxiliary_sample_rows	has_index	inferred_auxiliary_series	failure_reasons
nasa_power_daily_longwave_flux	ok	540600	4324800	40	13515	108120	0	0	0	1	none	none
noaa_ghcn_daily_awnd_by_station	ok	545792	1091584	57	9970	19940	0	0	0	1	none	none
noaa_stormevents_details_2024_f64	ok	593574	4748592	11	54388	435104	0	0	0	1	none	none
dataone_solr	ok	602719	2805438	7	100000	400000	0	0	0	1	none	none
wikimedia_pageviews_daily	ok	619828	2479312	208	3472	13888	0	0	0	1	none	none
earthquake_usgs	ok	630753	4880874	50	14515	115292	0	0	0	1	none	none
nasa_power_daily_humidity	ok	642840	5142720	40	16071	128568	0	0	0	1	none	none
usgs_nwis_dissolved_oxygen_daily	ok	700423	5603384	85	8398	67184	0	0	0	1	none	none
gdelt_events_avgtone_daily	ok	731884	2927536	7	107010	428040	0	0	0	1	none	none
gdelt_events_goldstein_daily	ok	731884	2927536	7	107010	428040	0	0	0	1	none	none
gdelt_events_nummentions_daily	ok	731884	2927536	7	107010	428040	0	0	0	1	none	none
gdelt_events_numsources_daily	ok	731884	2927536	7	107010	428040	0	0	0	1	none	none
wwpdb_mmcif_atom_coords_f32	ok	742731	2970924	8	15910.5	63642	0	0	0	1	none	none
jrc_global_surface_water_occurrence_u8	ok	786432	786432	12	65536	65536	0	0	0	1	none	none
taginfo_keys_all	ok	800000	5100000	8	100000	800000	0	0	0	1	none	none
binance_usdm_futures_bookdepth_btc_eth_2024_w01	ok	806360	6450880	28	28800	230400	806360	6450880	28	1	none	none
noaa_coops_water_level	ok	876000	7008000	5	175200	1401600	0	0	0	1	none	none
openalex_institutions_large	ok	880957	2642871	7	125851	503404	0	0	0	1	none	none
federalregister_documents_large	ok	887298	2661894	358	2463	6824	0	0	0	1	none	none
inspirehep_literature	ok	897494	2403434	195	5000	10000	0	0	0	1	none	none
nasa_power_daily_solar_flux	ok	898551	7188408	60	14976	119808	0	0	0	1	none	none
smithsonian_openaccess_gltf_indices_u16	ok	899964	1799928	3	299988	599976	0	0	0	1	none	none
nasa_power_daily_surface_state	ok	964260	7714080	60	16071	128568	0	0	0	1	none	none
nasa_power_daily_temperature_extremes	ok	964260	7714080	60	16071	128568	0	0	0	1	none	none
usgs_nwis_specific_conductance_daily	ok	984131	7873048	120	8317.5	66540	0	0	0	1	none	none
ncbi_assembly_refseq_summary	ok	1045878	6275268	2	522939	3137634	1568625	6274500	3	1	none	none
nih_reporter_projects	ok	1064676	6388056	90	11664	66162	0	0	0	1	none	none
europe_pmc_search	ok	1127748	2631412	6	187958	375916	187958	751832	1	1	none	none
eeg_physionet	ok	1178880	2357760	30	39200	78400	0	0	0	1	none	none
census_acs_pums_ca_person_2023_i64	ok	1265252	10122016	4	334276	2674208	0	0	0	1	none	none
macrostrat_units	ok	1422089	5688356	11	129262	517048	0	0	0	1	none	none
statsbomb_open_events_numeric	ok	1512053	6048212	450	3442.5	13770	1668027	2780045	450	1	none	none
usgs_nwis_water_temperature_daily	ok	1680861	13446888	200	8567	68536	0	0	0	1	none	none
noaa_ghcn_daily_snwd_by_station	ok	1725872	3451744	58	28052.5	56105	0	0	0	1	none	none
uci_superconductivity_material_features_f64	ok	1743566	13948528	82	21263	170104	0	0	0	1	none	none
gas_sensor_array_drift_uci	ok	1794390	14257750	129	13910	111280	0	0	0	1	none	none
tokens_bert_gutenberg	ok	2011943	4023886	12	113744.5	227489	0	0	0	1	none	none
noaa_ghcn_daily_snow_by_station	ok	2077730	4155460	59	36089	72178	0	0	0	1	none	none
polyhaven_hdri_exr_f32	ok	2097152	8388608	4	524288	2097152	0	0	0	1	none	none
tokens_t5_gutenberg	ok	2258811	4517622	12	125381.5	250763	0	0	0	1	none	none
nist_matrix_market_sparse_matrices	ok	2300385	12268720	57	15100	71428	0	0	0	1	none	none
noaa_ghcn_daily_tmin_by_station	ok	2343685	4687370	59	41993	83986	0	0	0	1	none	none
openalex_sources_large	ok	2348739	7046217	9	260971	1043884	0	0	0	1	none	none
noaa_ghcn_daily_tmax_by_station	ok	2350732	4701464	59	41953	83906	0	0	0	1	none	none
noaa_ghcn_daily_prcp_by_station	ok	2374291	4748582	59	41780	83560	0	0	0	1	none	none
ptbxl_physionet	ok	2400000	9600000	200	12000	48000	0	0	0	1	none	none
openf1_belgium_2023_car_data_native	ok	2526120	3368160	120	21051	21051	0	0	0	1	none	none
gaia_dr3_astrometry_f32	ok	2671368	10685472	6	445228	1780912	0	0	0	1	none	none
openalex_authors_large	ok	2815400	7239600	7	402200	804400	0	0	0	1	none	none
openalex_author_topic_count_u8	ok	2858800	2858800	1	2858800	2858800	0	0	0	1	none	none
sensorless_drive_diagnosis_uci	ok	2866941	22525965	49	58509	468072	0	0	0	1	none	none
gdc_somatic_mutations	ok	3323270	13293080	23	133731	534924	0	0	0	1	none	none
imdb_title_ratings	ok	3358804	13435216	2	1679402	6717608	0	0	0	1	none	none
metacpan_releases_search_large	ok	3597093	14388372	9	399677	1598708	0	0	0	1	none	none
jhu_covid19_confirmed_us_daily	ok	3664458	14657832	3206	1143	4572	0	0	0	1	none	none
usgs_daily_values_large	ok	3733419	29867352	1800	2192	17536	0	0	0	1	none	none
citibike_2024_01_station_ids_u16	ok	3776170	7552340	16	180600	361200	0	0	0	1	none	none
beijing_air_quality_uci	ok	4219435	33755480	132	32141.5	257132	1534340	12274720	48	1	none	none
ncbi_gene_human	ok	4794554	19178216	4	1198638.5	4794554	0	0	0	1	none	none
natural_earth_10m_geometry_xy_f64	ok	5312502	42500016	1166	1461	11688	0	0	0	1	none	none
bam_read_mapq_u8	ok	6170563	6170563	14	435368	435368	0	0	0	1	none	none
noaa_tides_water_level	ok	7287492	58299936	42	175440	1403520	0	0	0	1	none	none
unicode_bmp_gutenberg	ok	8700484	17400968	12	490769	981538	0	0	0	1	none	none
fsdd_pcm_u8	ok	10498424	10498424	3000	3358.5	3358.5	0	0	0	1	none	none
