selection_ordinal	filename	url	x_offset	y_offset	source_x_size	source_y_size	source_data_type	decoded_bytes	source_bytes	sha256
234	tileSG-025-073_3-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-025-073/tileSG-025-073_3-2.tif	131499	44941	450	450	Int16	405000	406513	966654bf917caedc8e59273ec9d40a548db7c8e590d55c12713c6396ffcd5f0c
235	tileSG-025-048_4-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-025-048/tileSG-025-048_4-3.tif	86949	45391	450	450	Int16	405000	406513	89d7889ca94e509f56593417d19a0527f34e9cc954ba96cfc9f6dbe8a7f52094
236	tileSG-026-077_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-026-077/tileSG-026-077_1-4.tif	139599	45841	450	450	Int16	405000	406513	b6a8450e4f05ae8e6bb2450b5ebc19027b53760caca1d06170ece41868b8924e
237	tileSG-026-081_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-026-081/tileSG-026-081_1-4.tif	146799	45841	450	450	Int16	405000	406511	6076f3ce5db9f5f30bca474b0cfc70d2165005384d5b48ce3077fd1c062196f3
238	tileSG-026-031_2-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-026-031/tileSG-026-031_2-4.tif	56799	46291	450	450	Int16	405000	406513	3fd0b4ec6e7ddb2ec380e042d9de4a7b16f2b318c793fd89d88f7f538edcfd29
239	tileSG-026-051_3-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-026-051/tileSG-026-051_3-3.tif	92349	46741	450	450	Int16	405000	406513	14572a0faeacb77ea9575d43b83972c57a6f0c989a2abe9a3c41332e90545bae
240	tileSG-026-074_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-026-074/tileSG-026-074_3-1.tif	132849	46741	450	450	Int16	405000	406513	8d13fd1ef580cbd3aa7a4e7bcd3e8d6aeee50975d520d8e6c8a86e292670daba
241	tileSG-026-027_4-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-026-027/tileSG-026-027_4-2.tif	48699	47191	450	450	Int16	405000	406511	046bdf43022a39dce5aa133bc1ac76344cd9fc12440e924cd5fa8b79ada98aaa
242	tileSG-027-049_2-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-027-049/tileSG-027-049_2-2.tif	88299	48091	450	450	Int16	405000	406509	06ab8231903944a02c62ec37aee5dcacf6f5b23ddb73903616d9c3c2970ec2b9
243	tileSG-027-078_2-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-027-078/tileSG-027-078_2-1.tif	140049	48091	450	450	Int16	405000	406513	48e53508ec7fd9921648266dd03ed81dccf2f89e5723289ebe5f0b07f19050ed
244	tileSG-027-081_2-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-027-081/tileSG-027-081_2-2.tif	145899	48091	450	450	Int16	405000	406513	8b51247a6af1af96a2972330dd1a6218f3275ca660aa080a2fea81f2c6c6592f
245	tileSG-027-074_3-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-027-074/tileSG-027-074_3-4.tif	134199	48541	450	450	Int16	405000	406513	80b4903276b033d1f1ed1dc59b1d9eba9c0419f14f6c2d151004ea514514e8a0
246	tileSG-027-027_4-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-027-027/tileSG-027-027_4-2.tif	48699	48991	450	450	Int16	405000	406513	f4e80a9732323030757e9a3fad118b63cad04619bcddf9f49edf7b1ba2e6abaf
247	tileSG-027-030_4-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-027-030/tileSG-027-030_4-1.tif	53649	48991	450	450	Int16	405000	406513	8e0cd276f06caf0e31a93752183190afbed27c0127f2056b943b27a8c4171ce7
248	tileSG-028-079_2-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-028-079/tileSG-028-079_2-2.tif	142299	49891	450	450	Int16	405000	406513	a9118807facc397066e032e3152dfebf27c5b94bb0ceeab0ff520427cd0f0420
249	tileSG-028-086_3-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-028-086/tileSG-028-086_3-2.tif	154899	50341	450	450	Int16	405000	406513	dfa165454d9bfcbd8ed30192a99887ec9acf1314cf58486e0dcb8e26cacc3748
250	tileSG-028-027_4-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-028-027/tileSG-028-027_4-4.tif	49599	50791	450	450	Int16	405000	406513	d4b793bfa4ce97637055062619eaff8bead1802621592431c4e0d1bd0ed41074
251	tileSG-029-080_3-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-029-080/tileSG-029-080_3-2.tif	144099	52141	450	450	Int16	405000	406511	ffb5bc949f6454767bbf45dcf6c015f5b7f61b9cebc5c348411dff3a838c7458
252	tileSG-029-085_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-029-085/tileSG-029-085_3-1.tif	152649	52141	450	450	Int16	405000	406513	c744bf36b0c8ceced58b78bea58006b9e3ade56997d475a5f448a31ce547ab14
253	tileSG-030-027_1-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-030-027/tileSG-030-027_1-3.tif	49149	53041	450	450	Int16	405000	406513	9487fded7105c801753cb8dc4e96a8eac2891418a2eb59f0b55eed1b3205c683
254	tileSG-030-084_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-030-084/tileSG-030-084_3-1.tif	150849	53941	450	450	Int16	405000	406513	132235908cfc1e2c92c367d3bbee6688b316251f3a6e7a8060ed2e6ae8ae3d80
255	tileSG-031-028_2-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-031-028/tileSG-031-028_2-1.tif	50049	55291	450	450	Int16	405000	406513	28a520c753fd30f8eafb2d94f0fcb3b4a19b9eaebcb62b30b601cca67fb63284
256	tileSG-032-028_3-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-032-028/tileSG-032-028_3-2.tif	50499	57541	450	450	Int16	405000	406513	092c312eaa577711ad7f48b2ce5fdaafc5a3921d78c238f6d0798d3a9d719cd1
